Textos_espanol,sdg
" Han examinado la contribución de las universidades y las instituciones de educación terciaria al desarrollo del capital humano y las competencias, la transferencia de tecnologa y la innovación empresarial, el desarrollo social, cultural y medioambiental, y la creación de capacidad regional. El proceso de revisión ha facilitado la creación de asociaciones en ciudades y regiones al reunir a instituciones de educación terciaria y organismos públicos y privados para identificar objetivos estratégicos y trabajar juntos para alcanzarlos. Complementa las revisiones que se han llevado a cabo en la regin transfronteriza Mxico-Estados Unidos, de gran importancia estratgica y econmica, como las de Nuevo Len, la regin Paso del Norte y, ms recientemente, la del sur de Arizona (2011), junto al estado de Sonora. ",5
"En la ltima dcada, y en particular desde 2010, el nmero de altas per cpita ha tendido a disminuir, y ahora est en lnea con la media de la OCDE mencionada anteriormente. Por ejemplo, los habitantes de zonas rurales representan el 43% de la poblacin, pero slo el 32% de las altas hospitalarias. A falta de informacin complementaria, no es posible determinar si esta diferencia indica o no disparidades en el acceso de las poblaciones rurales y, en caso afirmativo, si las causas son geogrficas, culturales o infraestructurales. No parece que se recojan datos sobre el acceso a la atencin desde el punto de vista del paciente, lo que ayudara a comprender la naturaleza de los obstculos al acceso (y las soluciones). En general, no es posible determinar con los datos disponibles si los ingresos o las caractersticas socioeconmicas de los pacientes influyen a la hora de llegar a las puertas del hospital o de ser ingresado. El acceso desigual probablemente se deba tambin a la incapacidad de los centros de las distintas regiones para prestar los mismos servicios. ",3
"En qu pases los estudiantes de alto rendimiento se sienten atrados por la docencia? Las encuestas de docentes en servicio a menudo muestran que los maestros actuales estn muy motivados por los beneficios intrnsecos de la enseanza: trabajar con nios y ayudarlos a desarrollarse y hacer una contribucin a la sociedad, mientras que los estudios que encuestan a grandes grupos de graduados sobre sus opciones de carrera muestran que la los salarios relativos de las ocupaciones de los graduados juegan un papel en sus elecciones: si los salarios de los docentes hubieran sido ms altos, ms ""docentes potenciales"" habran considerado seriamente una carrera en la enseanza. A nivel de pas, los resultados indican que tanto los salarios de los docentes como la estatus social de la profesin docente se asocian positivamente con las expectativas de los estudiantes de trabajar como docentes.",4
"A raz de su preocupacin por el hecho de que los mdicos de todo el sistema sanitario japons no fueran capaces de identificar los signos de sufrimiento psicolgico que podran ayudar a reducir los suicidios, la Asociacin Mdica Japonesa informa de que empez a compartir informacin y orientaciones sobre la depresin con todos los mdicos, primero en 2004 y luego de nuevo en 2009. En la actualidad, slo se recogen indicadores sobre la tasa de reclusin y contencin, y de ingresos involuntarios, por parte de los proveedores y a nivel prefectural. La informacin recopilada sistemticamente sobre el sistema de atencin de salud mental se limita a indicadores estructurales: instalaciones, nmero de personal, nmero de camas. ",3
"1999|H5|, Ares Abalde, 2014[ij]. El pequeo nmero de estudiantes y docentes en estas escuelas da forma a las formas en que las escuelas pueden utilizar el tiempo de docentes y alumnos, y cmo estos se agrupan por grados y habilidades (Mulcahy, 2009[ii6i). Los padres pueden estar preocupados por el hecho de que sus hijos aprendan junto con nios de diferentes edades en el mismo saln de clases (Cornish, 2006[ii7j), pero la investigacin sugiere que la enseanza multigrado no es necesariamente menos efectiva que en clases de edades especficas.",4
"A continuacin, se propone una sntesis de pas con el fin de resaltar la coherencia de la poltica nacional en la materia. Dicha coherencia se construye sobre la fuerza de las asociaciones que existen entre los Niveles 2, 3 y 4. La siguiente tabla resume el contenido de las recomendaciones y especifica si existe un diploma relacionado con el campo de los usos de las TIC en la educacin. El caso de cada pas se describe especficamente en los siguientes prrafos.",5
"A diferencia de los acuerdos anteriores, la nueva normativa no estipula la cantidad de tiempo que debe utilizarse para distintos fines, como la enseñanza y la preparación. Las decisiones sobre el uso del tiempo de los profesores y el lugar de trabajo recaen ahora en la dirección del centro y se espera que los profesores trabajen de forma diferente. En 35 sistemas, el tiempo de enseñanza se especifica contractualmente.",5
"Por ejemplo, los servicios de urgencias tienen que prestar asistencia aunque ya se hayan cubierto las cuotas anuales de determinados servicios, por lo que el nmero de casos de este tipo puede proporcionar alguna indicacin de si las cuotas se han fijado adecuadamente. El origen y destino final de los pacientes tambin puede proporcionar una indicacin de si la capacidad en los distintos niveles de atencin es adecuada, tanto en trminos de acceso como de calidad de la atencin. En 2013, haba 3,1 mdicos en ejercicio por cada 1 000 habitantes, cerca de la media de la OCDE de 3,2, y un ligero aumento con respecto a 2000, cuando haba 2,9 mdicos en ejercicio por cada 1 000 habitantes en Letonia. ",3
"A lo largo de diez aos cerraron escuelas especiales y destinaron los recursos al sistema general. No obstante, reconoce que no siempre se trata a las personas como iguales y que los jvenes con discapacidad sufren discriminacin y desventajas. El Consejo cree que la educacin especial segregada es un factor importante de discriminacin. ",5
"A medida que se implemente la nueva estructura de carrera, ser crucial que el proceso de certificacin establecido enve seales claras de rigor para identificar tanto el buen desempeo en las diferentes etapas de la carrera como el bajo desempeo como docente. Un tema importante ser resolver la duplicidad actual entre el proceso de certificacin asociado a la estructura de carrera y el sistema de evaluacin del desempeo docente. Para aprovechar el carcter continuo del sistema de evaluacin del desempeo docente y atender la necesidad de que los docentes demuestren continuamente su idoneidad para la profesin en los diferentes niveles de la estructura de la carrera, podra considerarse la introduccin del requisito de recertificacin en determinada etapa de la carrera.",4
